| network_model                | AuxGuideDepth                     |
| pretrained                   | True                              |
| message                      | zzzzz                             |
| mode                         | train                             |
| dataset                      | nn                                |
| workers                      | 4                                 |
| epochs                       | 100                               |
| criterion                    | l2                                |
| batch_size                   | 8                                 |
| learning_rate                | 0.0001                            |
| weight_decay                 | 0                                 |
| print_freq                   | 10                                |
| resume                       |                                   |
| data_folder                  | /datasets                         |
| convolutional_layer_encoding | xyz                               |
| dilation_rate                | 2                                 |
| val_h                        | 352                               |
| val_w                        | 608                               |
| train_height                 | 352                               |
| train_width                  | 608                               |
| min_depth_eval               | 0.1                               |
| max_depth_eval               | 80.0                              |
| kitti_crop                   | eigen_crop                        |
| train_datalist               | datalist_train_nn.list            |
| val_datalist                 | datalist_test_nn.list             |
| root_folder                  | data/nn_dataset/                  |
| torch_mode                   | pytorch                           |
| saved_weights                | weights/KITTI_Full_GuideDepth.pth |
| wandblogger                  | True                              |
| project                      | depthcompletionpaper              |
| entity                       | wandbdimar                        |
| wandbrunname                 | frozenencoder                     |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_1.pth 
| d1       |  0.00453203 |
| d2       |  0.010861   |
| d3       |  0.0180484  |
| abs_rel  |  6.32553    |
| sq_rel   | 34.8611     |
| rmse     |  5.28809    |
| rmse_log |  1.88407    |
| log10    |  0.805211   |
| silog    |  1.35409    |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_2.pth 
| d1       |  0.00687954 |
| d2       |  0.0155219  |
| d3       |  0.0386071  |
| abs_rel  |  4.87183    |
| sq_rel   | 20.7208     |
| rmse     |  3.97727    |
| rmse_log |  1.66024    |
| log10    |  0.706924   |
| silog    |  1.19836    |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_3.pth 
| d1       |  0.0083919 |
| d2       |  0.0231416 |
| d3       |  0.0560938 |
| abs_rel  |  4.04909   |
| sq_rel   | 14.4022    |
| rmse     |  3.27546   |
| rmse_log |  1.51182   |
| log10    |  0.641962  |
| silog    |  1.09419   |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_4.pth 
| d1       |  0.0113117 |
| d2       |  0.0340822 |
| d3       |  0.0830983 |
| abs_rel  |  3.55293   |
| sq_rel   | 11.1951    |
| rmse     |  2.84308   |
| rmse_log |  1.40818   |
| log10    |  0.596175  |
| silog    |  1.02228   |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_5.pth 
| d1       | 0.0144288 |
| d2       | 0.0445498 |
| d3       | 0.126059  |
| abs_rel  | 3.17372   |
| sq_rel   | 9.01827   |
| rmse     | 2.52729   |
| rmse_log | 1.32299   |
| log10    | 0.558634  |
| silog    | 0.963119  |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_6.pth 
| d1       | 0.0182754 |
| d2       | 0.0566772 |
| d3       | 0.163165  |
| abs_rel  | 2.87025   |
| sq_rel   | 7.43934   |
| rmse     | 2.27799   |
| rmse_log | 1.24967   |
| log10    | 0.526418  |
| silog    | 0.911984  |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_7.pth 
| d1       | 0.0221902 |
| d2       | 0.0747328 |
| d3       | 0.190626  |
| abs_rel  | 2.6239    |
| sq_rel   | 6.27745   |
| rmse     | 2.07857   |
| rmse_log | 1.18593   |
| log10    | 0.498402  |
| silog    | 0.867604  |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_8.pth 
| d1       | 0.0263672 |
| d2       | 0.100605  |
| d3       | 0.214453  |
| abs_rel  | 2.42736   |
| sq_rel   | 5.428     |
| rmse     | 1.92231   |
| rmse_log | 1.13209   |
| log10    | 0.474725  |
| silog    | 0.83008   |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_9.pth 
| d1       | 0.0306382 |
| d2       | 0.127383  |
| d3       | 0.236351  |
| abs_rel  | 2.25615   |
| sq_rel   | 4.7372    |
| rmse     | 1.78786   |
| rmse_log | 1.08296   |
| log10    | 0.453143  |
| silog    | 0.795859  |

New model saved: weights/2022_06_30-06_13_40_PM/AuxGuideDepth_10.pth 
| d1       | 0.035897 |
| d2       | 0.147831 |
| d3       | 0.256713 |
